脱敏客户ID,付款时间,支付金额
cumid4038,2023-10-14 15:21:38,19.97
cumid4039,2023-10-14 15:22:35,148.86
cumid4040,2023-10-14 15:34:21,19.4
cumid4041,2023-10-14 15:40:44,37.96
cumid4042,2023-10-14 15:43:00,120.96
cumid4043,2023-10-14 15:45:49,111.78
cumid4044,2023-10-14 15:54:13,40.07
cumid4045,2023-10-14 15:55:30,69.16
cumid2301,2023-10-14 15:57:12,9.55
cumid4046,2023-10-14 16:03:51,17.23
cumid4047,2023-10-14 16:04:36,19.64
cumid4048,2023-10-14 16:09:09,19.51
cumid4049,2023-10-14 16:11:19,18.57
cumid4050,2023-10-14 16:12:05,18.98
cumid4051,2023-10-14 16:13:46,9.59
cumid4052,2023-10-14 16:14:41,19.34
cumid4053,2023-10-14 16:28:45,9.71
cumid4054,2023-10-14 16:28:48,19.74
cumid4055,2023-10-14 16:35:20,19.2
cumid4056,2023-10-14 16:36:38,18.75
cumid656,2023-10-14 16:39:54,24.43
cumid4057,2023-10-14 16:42:45,19.14
cumid4058,2023-10-14 16:47:45,9.61
cumid4059,2023-10-14 16:49:17,19.87
cumid4060,2023-10-14 16:59:04,65.61
cumid4061,2023-10-14 17:06:52,9.24
cumid2477,2023-10-14 17:07:44,20.11
cumid4062,2023-10-14 17:08:03,38.3
cumid4063,2023-10-14 17:10:28,39.16
cumid4064,2023-10-14 17:13:06,19.74
cumid4065,2023-10-14 17:15:34,39.07
cumid250,2023-10-14 17:16:18,141.69
cumid588,2023-10-14 17:22:07,219.39
cumid4066,2023-10-14 17:23:40,18.73
cumid4067,2023-10-14 17:33:29,9.44
cumid4068,2023-10-14 17:34:24,9.76
cumid4069,2023-10-14 17:39:47,25.33
cumid4070,2023-10-14 17:46:58,18.93
cumid4071,2023-10-14 17:52:10,9.84
cumid4072,2023-10-14 17:54:04,18.99
cumid4073,2023-10-14 18:02:09,112.14
cumid4074,2023-10-14 18:09:14,20.0
cumid4075,2023-10-14 18:12:03,18.7
cumid4076,2023-10-14 18:13:03,19.86
cumid4077,2023-10-14 18:15:19,9.93
cumid4078,2023-10-14 18:15:44,9.37
cumid4079,2023-10-14 18:20:38,19.62
cumid4080,2023-10-14 18:23:47,20.08
cumid3267,2023-10-14 18:28:42,18.05
cumid4081,2023-10-14 18:30:48,9.9
cumid4082,2023-10-14 18:37:04,19.9
cumid4083,2023-10-14 18:37:45,18.64
cumid4084,2023-10-14 18:39:27,9.85
cumid4085,2023-10-14 18:39:54,20.02
cumid4086,2023-10-14 18:46:53,9.85
cumid4087,2023-10-14 18:47:24,9.83
cumid4088,2023-10-14 18:50:41,19.38
cumid4089,2023-10-14 18:52:14,28.67
cumid3605,2023-10-14 18:52:20,18.84
cumid4090,2023-10-14 18:53:56,37.11
cumid4091,2023-10-14 19:02:26,9.8
cumid3135,2023-10-14 19:03:00,29.75
cumid4092,2023-10-14 19:06:38,18.86
cumid4093,2023-10-14 19:07:30,19.41
cumid4094,2023-10-14 19:17:20,19.96
cumid4095,2023-10-14 19:21:35,57.98
cumid4096,2023-10-14 19:26:22,28.02
cumid4097,2023-10-14 19:29:07,43.86
cumid4098,2023-10-14 19:34:48,111.75
cumid4099,2023-10-14 19:35:21,9.7
cumid4100,2023-10-14 19:42:38,9.94
cumid4101,2023-10-14 19:42:52,9.71
cumid4102,2023-10-14 19:43:37,18.86
cumid4103,2023-10-14 19:53:42,9.85
cumid4103,2023-10-14 19:55:25,9.62
cumid4104,2023-10-14 19:58:00,9.89
cumid4105,2023-10-14 19:58:29,117.06
cumid4104,2023-10-14 19:58:41,9.4
cumid4106,2023-10-14 19:59:12,9.6
cumid4107,2023-10-14 20:00:27,9.4
cumid4107,2023-10-14 20:02:49,9.3
cumid4108,2023-10-14 20:06:38,9.25
cumid4109,2023-10-14 20:09:17,20.05
cumid4110,2023-10-14 20:11:29,19.21
cumid4111,2023-10-14 20:15:29,9.95
cumid4112,2023-10-14 20:16:33,9.67
cumid3270,2023-10-14 20:17:40,205.32
cumid4113,2023-10-14 20:19:13,20.01
cumid4114,2023-10-14 20:20:51,20.15
cumid4115,2023-10-14 20:27:19,18.77
cumid4116,2023-10-14 20:27:46,38.76
cumid4117,2023-10-14 20:32:44,19.33
cumid4118,2023-10-14 20:33:16,19.18
cumid4119,2023-10-14 20:37:52,19.28
cumid4120,2023-10-14 20:39:25,19.85
cumid4120,2023-10-14 20:40:34,19.2
cumid4121,2023-10-14 20:45:10,110.79
cumid4122,2023-10-14 20:46:15,9.53
cumid4122,2023-10-14 20:46:35,9.42
cumid4123,2023-10-14 20:48:43,18.95
cumid4124,2023-10-14 20:50:58,9.33
cumid4125,2023-10-14 20:57:45,9.77
cumid4126,2023-10-14 20:59:00,19.3
cumid4127,2023-10-14 21:00:13,18.99
cumid4128,2023-10-14 21:02:05,10.08
cumid4129,2023-10-14 21:03:52,19.26
cumid4130,2023-10-14 21:04:08,19.78
cumid4131,2023-10-14 21:10:10,9.72
cumid4132,2023-10-14 21:10:48,19.67
cumid4133,2023-10-14 21:16:24,37.18
cumid4134,2023-10-14 21:19:50,9.3
cumid1220,2023-10-14 21:22:56,37.81
cumid4135,2023-10-14 21:29:18,9.75
cumid4136,2023-10-14 21:37:18,19.4
cumid4137,2023-10-14 21:38:04,9.77
cumid4138,2023-10-14 21:43:19,19.6
cumid4139,2023-10-14 21:48:55,18.85
cumid4140,2023-10-14 21:50:45,18.75
cumid4141,2023-10-14 21:51:14,18.74
cumid4142,2023-10-14 21:56:28,19.05
cumid4143,2023-10-14 21:57:16,20.09
cumid4144,2023-10-14 21:58:14,9.3
cumid4144,2023-10-14 22:00:17,9.38
cumid4145,2023-10-14 22:04:10,19.17
cumid4146,2023-10-14 22:05:17,19.91
cumid4147,2023-10-14 22:13:23,9.32
cumid4148,2023-10-14 22:14:02,19.55
cumid4149,2023-10-14 22:15:41,9.76
cumid4150,2023-10-14 22:18:08,139.91
cumid4151,2023-10-14 22:22:48,146.92
cumid3886,2023-10-14 22:27:32,9.84
cumid4152,2023-10-14 22:28:42,18.75
cumid4153,2023-10-14 22:30:15,9.27
cumid4154,2023-10-14 22:33:43,19.23
cumid4155,2023-10-14 22:34:43,38.24
cumid4156,2023-10-14 22:38:16,9.58
cumid4157,2023-10-14 22:38:29,19.46
cumid4158,2023-10-14 22:41:47,18.75
cumid4159,2023-10-14 22:43:47,9.8
cumid4160,2023-10-14 22:54:03,19.35
cumid4161,2023-10-14 22:55:08,9.72
cumid4162,2023-10-14 22:57:03,19.86
cumid4163,2023-10-14 23:00:49,19.05
cumid4164,2023-10-14 23:03:56,9.68
cumid4165,2023-10-14 23:04:25,19.75
cumid4166,2023-10-14 23:06:45,15.58
cumid1181,2023-10-14 23:09:17,9.61
cumid4167,2023-10-14 23:26:52,18.0
cumid4168,2023-10-14 23:27:15,38.47
cumid4169,2023-10-14 23:37:38,9.46
cumid4170,2023-10-14 23:40:18,18.48
cumid4171,2023-10-14 23:57:47,9.97
cumid4172,2023-10-15 00:09:44,19.32
cumid4173,2023-10-15 00:15:41,18.98
cumid4174,2023-10-15 00:22:26,107.95
cumid4175,2023-10-15 00:28:03,44.88
cumid4176,2023-10-15 00:30:24,99.94
cumid4177,2023-10-15 00:35:59,19.59
cumid67,2023-10-15 01:04:18,19.17
cumid4178,2023-10-15 01:09:42,9.44
cumid4179,2023-10-15 01:11:33,9.26
cumid43,2023-10-15 01:13:17,9.51
cumid4180,2023-10-15 01:20:52,56.13
cumid4181,2023-10-15 01:29:10,77.96
cumid4182,2023-10-15 01:48:22,19.32
cumid4183,2023-10-15 01:58:25,19.07
cumid4184,2023-10-15 02:02:21,19.49
cumid4185,2023-10-15 02:10:54,19.36
cumid4186,2023-10-15 02:32:33,19.9
cumid4187,2023-10-15 02:51:28,19.12
cumid4188,2023-10-15 03:00:42,19.51
cumid4189,2023-10-15 03:17:39,9.36
cumid4190,2023-10-15 03:35:56,148.07
cumid4191,2023-10-15 04:17:46,19.45
cumid4192,2023-10-15 04:38:10,9.84
cumid4193,2023-10-15 04:48:06,125.91
cumid4194,2023-10-15 05:36:34,19.76
cumid4195,2023-10-15 06:04:18,9.45
cumid4196,2023-10-15 06:56:03,9.88
cumid4197,2023-10-15 07:02:15,18.85
cumid4198,2023-10-15 07:35:42,19.51
cumid4199,2023-10-15 07:59:55,19.95
cumid4200,2023-10-15 08:07:22,9.92
cumid4201,2023-10-15 08:24:42,9.25
cumid4202,2023-10-15 08:31:44,20.04
cumid4203,2023-10-15 08:34:55,19.69
cumid4204,2023-10-15 08:40:17,38.47
cumid4205,2023-10-15 08:51:18,9.62
cumid4206,2023-10-15 09:03:43,19.82
cumid4207,2023-10-15 09:06:50,16.92
cumid4208,2023-10-15 09:10:54,114.44
cumid4209,2023-10-15 09:20:43,39.76
cumid4210,2023-10-15 09:24:25,19.48
cumid4211,2023-10-15 09:30:22,38.46
cumid4212,2023-10-15 09:32:43,19.3
cumid4213,2023-10-15 09:50:52,9.7
cumid4214,2023-10-15 09:52:09,19.08
cumid4215,2023-10-15 09:56:25,19.8
cumid4216,2023-10-15 10:09:56,19.42
cumid3209,2023-10-15 10:18:31,108.4
cumid4217,2023-10-15 10:23:43,37.15
cumid3400,2023-10-15 10:29:21,115.59
cumid4218,2023-10-15 10:32:48,18.77
cumid4219,2023-10-15 10:35:03,9.35
cumid4220,2023-10-15 10:38:40,18.48
cumid4221,2023-10-15 10:40:53,19.36
cumid4222,2023-10-15 10:43:13,19.32
cumid1065,2023-10-15 10:45:17,206.63
cumid4223,2023-10-15 10:48:04,9.28
cumid4223,2023-10-15 10:48:20,9.74
cumid4224,2023-10-15 10:50:36,19.93
cumid4225,2023-10-15 10:51:32,9.61
cumid4226,2023-10-15 10:53:02,38.85
cumid4227,2023-10-15 10:56:20,99.46
cumid4228,2023-10-15 11:02:11,19.68
cumid4229,2023-10-15 11:02:33,19.15
cumid4230,2023-10-15 11:08:08,19.77
cumid4231,2023-10-15 11:11:36,18.63
cumid683,2023-10-15 11:12:52,111.98
cumid4232,2023-10-15 11:19:23,39.18
cumid4233,2023-10-15 11:21:19,108.36
cumid4234,2023-10-15 11:21:51,9.75
cumid4235,2023-10-15 11:25:59,46.79
cumid4236,2023-10-15 11:28:48,19.68
cumid4237,2023-10-15 11:30:10,9.31
cumid4238,2023-10-15 11:36:09,19.43
cumid4239,2023-10-15 11:53:28,39.27
cumid4240,2023-10-15 11:55:28,19.93
cumid4241,2023-10-15 11:57:05,20.12
cumid4242,2023-10-15 12:00:40,19.5
cumid4243,2023-10-15 12:04:38,9.36
cumid4244,2023-10-15 12:04:58,38.14
cumid4245,2023-10-15 12:07:15,19.82
cumid4246,2023-10-15 12:09:49,9.78
cumid4247,2023-10-15 12:17:01,19.9
cumid4248,2023-10-15 12:23:20,9.56
cumid2647,2023-10-15 12:24:54,19.94
cumid4249,2023-10-15 12:32:49,19.53
cumid97,2023-10-15 12:48:21,19.46
cumid4250,2023-10-15 12:49:18,9.54
cumid4251,2023-10-15 12:54:47,44.62
cumid4252,2023-10-15 12:58:58,144.97
cumid4253,2023-10-15 13:01:25,19.99
cumid4254,2023-10-15 13:01:59,18.89
cumid4255,2023-10-15 13:05:50,19.5
cumid4256,2023-10-15 13:11:22,18.67
cumid4257,2023-10-15 13:14:30,9.37
cumid3373,2023-10-15 13:16:53,18.61
cumid4258,2023-10-15 13:18:53,19.86
cumid4259,2023-10-15 13:21:40,19.73
cumid4260,2023-10-15 13:29:18,118.3
cumid4261,2023-10-15 13:32:19,19.08
cumid4262,2023-10-15 13:40:23,9.63
cumid4263,2023-10-15 13:43:48,25.68
cumid4264,2023-10-15 13:50:12,9.43
cumid4265,2023-10-15 13:52:03,19.06
cumid4266,2023-10-15 13:59:08,139.42
cumid4267,2023-10-15 13:59:15,18.8
cumid4267,2023-10-15 14:00:34,19.73
cumid4268,2023-10-15 14:03:01,19.3
cumid3781,2023-10-15 14:03:37,19.5
cumid4269,2023-10-15 14:09:18,216.22
cumid4270,2023-10-15 14:10:47,109.7
cumid4271,2023-10-15 14:20:48,19.56
cumid4272,2023-10-15 14:27:33,38.69
cumid4273,2023-10-15 14:27:54,38.98
cumid4274,2023-10-15 14:28:47,18.82
cumid4275,2023-10-15 14:33:19,18.71
cumid4276,2023-10-15 14:35:06,19.23
cumid4277,2023-10-15 14:36:36,40.44
cumid4278,2023-10-15 14:36:57,19.18
cumid4279,2023-10-15 14:41:01,19.09
cumid4280,2023-10-15 14:50:48,9.4
cumid4281,2023-10-15 14:53:59,9.48
cumid4282,2023-10-15 14:54:25,20.02
cumid4283,2023-10-15 14:55:25,9.7
cumid4284,2023-10-15 14:57:57,18.74
cumid4285,2023-10-15 15:08:14,19.53
cumid4286,2023-10-15 15:12:54,20.04
cumid4287,2023-10-15 15:15:25,19.81
cumid4288,2023-10-15 15:16:51,28.19
cumid4289,2023-10-15 15:30:52,9.44
cumid4290,2023-10-15 15:31:50,19.18
cumid4291,2023-10-15 15:34:06,19.03
cumid4292,2023-10-15 15:38:49,24.8
cumid4293,2023-10-15 15:44:23,19.12
cumid4294,2023-10-15 15:47:55,19.18
cumid4295,2023-10-15 15:48:25,203.29
cumid4296,2023-10-15 15:48:33,18.62
cumid4297,2023-10-15 15:49:37,18.57
cumid4298,2023-10-15 15:52:15,9.5
cumid4299,2023-10-15 16:00:53,19.9
cumid4300,2023-10-15 16:02:55,9.27
cumid4301,2023-10-15 16:03:04,9.41
cumid4302,2023-10-15 16:09:13,18.51
cumid43,2023-10-15 16:11:03,19.7
cumid4303,2023-10-15 16:12:33,19.19
cumid4304,2023-10-15 16:13:45,18.74
cumid4305,2023-10-15 16:14:43,9.39
cumid4306,2023-10-15 16:18:34,18.77
cumid4307,2023-10-15 16:19:03,19.0
cumid4308,2023-10-15 16:19:37,9.49
cumid4309,2023-10-15 16:21:00,9.44
cumid4310,2023-10-15 16:21:06,17.3
cumid4311,2023-10-15 16:22:15,9.24
cumid4312,2023-10-15 16:23:09,19.88
cumid4313,2023-10-15 16:28:27,19.21
cumid4314,2023-10-15 16:30:02,215.36
cumid4315,2023-10-15 16:32:55,18.62
cumid4316,2023-10-15 16:35:14,19.9
cumid4317,2023-10-15 16:36:36,18.86
cumid538,2023-10-15 16:37:31,225.71
cumid4318,2023-10-15 16:44:32,19.0
cumid4319,2023-10-15 16:47:59,9.34
cumid4320,2023-10-15 16:52:25,19.89
cumid4321,2023-10-15 16:57:43,19.79
cumid4250,2023-10-15 17:08:56,18.68
cumid4322,2023-10-15 17:10:20,102.96
cumid4323,2023-10-15 17:11:06,18.68
cumid4324,2023-10-15 17:22:17,20.08
cumid4325,2023-10-15 17:27:41,20.1
cumid4326,2023-10-15 17:30:44,43.66
cumid4327,2023-10-15 17:32:22,20.04
cumid97,2023-10-15 17:34:52,9.66
cumid4328,2023-10-15 17:38:19,112.21
cumid4329,2023-10-15 17:39:33,10.03
cumid4330,2023-10-15 17:39:44,10.01
cumid4331,2023-10-15 17:41:45,19.55
cumid4332,2023-10-15 17:44:07,134.47
cumid4333,2023-10-15 17:49:07,9.74
cumid4334,2023-10-15 17:52:37,18.59
cumid4335,2023-10-15 17:52:54,20.05
cumid4336,2023-10-15 17:56:45,19.45
cumid4337,2023-10-15 18:01:10,40.32
cumid4338,2023-10-15 18:07:26,18.91
cumid4339,2023-10-15 18:07:42,39.32
cumid2763,2023-10-15 18:10:09,20.1
cumid4340,2023-10-15 18:10:17,37.63
cumid2763,2023-10-15 18:11:23,18.55
cumid4341,2023-10-15 18:12:21,28.75
cumid1844,2023-10-15 18:14:06,19.4
cumid4342,2023-10-15 18:15:36,18.72
cumid4343,2023-10-15 18:22:08,19.28
cumid4344,2023-10-15 18:22:40,9.65
cumid4345,2023-10-15 18:26:56,9.59
cumid4346,2023-10-15 18:27:12,9.5
cumid4347,2023-10-15 18:28:42,18.2
cumid4348,2023-10-15 18:31:50,35.77
cumid4349,2023-10-15 18:38:14,19.45
cumid4350,2023-10-15 18:40:38,112.9
cumid4351,2023-10-15 18:46:01,112.2
cumid3448,2023-10-15 18:48:50,18.97
cumid4352,2023-10-15 18:57:11,39.55
cumid4353,2023-10-15 19:03:55,19.44
cumid4354,2023-10-15 19:05:20,647.63
cumid4355,2023-10-15 19:18:08,9.79
cumid4356,2023-10-15 19:21:26,19.05
cumid4357,2023-10-15 19:25:03,20.11
cumid4358,2023-10-15 19:27:47,9.68
cumid4359,2023-10-15 19:32:32,19.26
cumid4360,2023-10-15 19:32:49,121.31
cumid4361,2023-10-15 19:34:01,19.59
cumid4362,2023-10-15 19:35:29,18.88
cumid4363,2023-10-15 19:39:41,27.85
cumid4364,2023-10-15 19:43:16,24.69
cumid4365,2023-10-15 19:43:44,30.43
cumid4366,2023-10-15 19:44:28,17.77
cumid4367,2023-10-15 19:48:29,29.89
cumid4368,2023-10-15 19:50:53,230.56
cumid4369,2023-10-15 19:51:51,18.75
cumid4370,2023-10-15 19:52:36,38.29
cumid1914,2023-10-15 19:53:46,19.78
cumid4371,2023-10-15 19:53:55,19.99
cumid4372,2023-10-15 19:55:58,19.95
cumid4373,2023-10-15 19:58:24,9.62
cumid4374,2023-10-15 20:04:33,111.1
cumid1108,2023-10-15 20:10:25,9.25
cumid4375,2023-10-15 20:14:18,18.92
cumid4376,2023-10-15 20:18:59,19.02
cumid4377,2023-10-15 20:19:33,17.55
cumid1855,2023-10-15 20:34:31,112.32
cumid4378,2023-10-15 20:41:52,107.93
cumid1829,2023-10-15 20:41:56,18.65
cumid4379,2023-10-15 20:43:19,19.91
cumid4380,2023-10-15 20:43:43,19.2
cumid4381,2023-10-15 20:48:28,175.84
cumid4382,2023-10-15 20:49:54,19.1
cumid4383,2023-10-15 20:53:44,9.74
cumid1890,2023-10-15 20:54:23,19.75
cumid4384,2023-10-15 21:00:29,28.23
cumid4385,2023-10-15 21:02:37,19.39
cumid4386,2023-10-15 21:06:58,39.41
cumid4388,2023-10-15 21:11:17,28.64
cumid4389,2023-10-15 21:13:31,18.6
cumid1271,2023-10-15 21:17:38,150.55
cumid4390,2023-10-15 21:26:10,19.74
cumid4391,2023-10-15 21:27:46,19.55
cumid4392,2023-10-15 21:32:08,94.6
cumid4393,2023-10-15 21:34:26,17.32
cumid4394,2023-10-15 21:36:12,18.62
cumid4395,2023-10-15 21:44:49,38.48
cumid4396,2023-10-15 21:48:11,19.99
cumid4397,2023-10-15 21:49:43,18.57
cumid4398,2023-10-15 21:52:03,19.14
cumid4399,2023-10-15 22:00:16,20.15
cumid4400,2023-10-15 22:04:30,18.98
cumid3287,2023-10-15 22:09:30,19.45
cumid4401,2023-10-15 22:10:05,9.76
cumid4402,2023-10-15 22:11:44,20.12
cumid4403,2023-10-15 22:13:35,9.75
cumid4404,2023-10-15 22:19:42,19.74
cumid4405,2023-10-15 22:20:04,19.9
cumid4406,2023-10-15 22:22:20,10.04
cumid893,2023-10-15 22:24:20,9.83
cumid4407,2023-10-15 22:27:47,24.24
cumid4408,2023-10-15 22:31:05,19.43
cumid3795,2023-10-15 22:34:23,20.0
cumid3795,2023-10-15 22:35:30,19.6
cumid4409,2023-10-15 22:36:56,19.91
cumid4410,2023-10-15 22:37:54,20.1
cumid4411,2023-10-15 22:38:48,19.14
cumid1217,2023-10-15 22:40:16,19.6
cumid4412,2023-10-15 22:41:05,121.31
cumid4413,2023-10-15 22:43:29,19.3
cumid4414,2023-10-15 22:46:33,9.67
cumid4415,2023-10-15 22:47:01,18.76
cumid4416,2023-10-15 22:47:39,9.5
cumid4417,2023-10-15 22:52:32,38.91
cumid4418,2023-10-15 23:01:41,9.99
cumid4419,2023-10-15 23:01:52,16.76
cumid4420,2023-10-15 23:03:30,18.77
cumid4420,2023-10-15 23:04:04,18.74
cumid4421,2023-10-15 23:05:19,20.13
cumid4420,2023-10-15 23:06:21,19.79
cumid4422,2023-10-15 23:09:19,19.99
cumid4423,2023-10-15 23:10:10,18.89
cumid4424,2023-10-15 23:11:35,112.69
cumid4425,2023-10-15 23:16:34,9.47
cumid4426,2023-10-15 23:21:56,129.32
cumid4427,2023-10-15 23:25:47,9.77
cumid4428,2023-10-15 23:27:59,10.0
cumid311,2023-10-15 23:28:35,9.4
cumid4429,2023-10-15 23:30:50,19.16
cumid4430,2023-10-15 23:33:42,37.99
cumid4431,2023-10-15 23:34:51,19.7
cumid4432,2023-10-15 23:36:31,9.5
cumid311,2023-10-15 23:38:24,9.94
cumid4433,2023-10-15 23:47:03,19.24
cumid4434,2023-10-15 23:57:03,18.8
cumid4435,2023-10-15 23:59:07,25.95
cumid4436,2023-10-16 00:00:06,9.95
cumid4437,2023-10-16 00:01:04,19.39
cumid4438,2023-10-16 00:02:52,24.53
cumid4439,2023-10-16 00:03:12,19.1
cumid4439,2023-10-16 00:03:58,18.56
cumid4440,2023-10-16 00:04:19,18.81
cumid4441,2023-10-16 00:09:51,9.92
cumid4442,2023-10-16 00:12:07,19.39
cumid4443,2023-10-16 00:14:12,19.04
cumid4444,2023-10-16 00:16:52,9.76
cumid4445,2023-10-16 00:18:41,9.5
cumid4446,2023-10-16 00:19:27,9.46
cumid2077,2023-10-16 00:21:50,9.76
cumid4447,2023-10-16 00:36:14,18.92
cumid4448,2023-10-16 00:41:39,20.07
cumid4449,2023-10-16 00:48:55,18.79
cumid4450,2023-10-16 00:49:35,25.59
cumid4451,2023-10-16 00:50:02,9.61
cumid4452,2023-10-16 00:52:27,9.6
cumid4453,2023-10-16 01:04:23,19.57
cumid4454,2023-10-16 01:08:46,18.49
cumid4455,2023-10-16 01:16:27,171.47
cumid4456,2023-10-16 01:20:54,9.94
cumid4457,2023-10-16 01:27:00,9.5
cumid4458,2023-10-16 01:34:33,9.58
cumid4459,2023-10-16 02:01:52,58.87
cumid4460,2023-10-16 02:14:22,9.58
cumid1006,2023-10-16 02:41:58,18.5
cumid4461,2023-10-16 03:03:41,19.78
cumid4462,2023-10-16 03:06:39,19.03
cumid4463,2023-10-16 03:13:32,30.13
cumid4464,2023-10-16 03:19:41,18.19
cumid4465,2023-10-16 03:38:51,19.26
cumid4466,2023-10-16 04:37:11,29.57
cumid4467,2023-10-16 05:28:30,19.46
cumid4468,2023-10-16 06:39:21,19.31
cumid4469,2023-10-16 06:59:26,17.75
cumid4470,2023-10-16 07:24:27,19.57
cumid4471,2023-10-16 07:39:19,9.59
cumid4472,2023-10-16 07:54:28,143.74
cumid4473,2023-10-16 07:56:47,58.12
cumid4474,2023-10-16 07:58:57,9.35
cumid4475,2023-10-16 08:04:25,37.43
cumid4476,2023-10-16 08:15:02,20.04
cumid4477,2023-10-16 08:18:32,18.51
cumid4478,2023-10-16 08:35:19,143.43
cumid4479,2023-10-16 08:36:20,19.22
cumid4480,2023-10-16 08:36:32,10.04
cumid3471,2023-10-16 08:45:03,9.38
cumid4481,2023-10-16 08:56:37,37.71
cumid4482,2023-10-16 09:00:38,19.78
cumid4483,2023-10-16 09:10:03,40.38
cumid4484,2023-10-16 09:18:20,18.66
cumid4485,2023-10-16 09:23:13,114.8
cumid4486,2023-10-16 09:28:45,19.01
cumid4487,2023-10-16 09:29:50,9.85
cumid4488,2023-10-16 09:31:53,19.09
cumid4489,2023-10-16 09:35:15,9.35
cumid4490,2023-10-16 09:45:04,38.22
cumid4491,2023-10-16 09:45:29,9.71
cumid490,2023-10-16 09:54:14,9.35
cumid4492,2023-10-16 09:54:22,19.81
cumid4493,2023-10-16 09:58:43,17.3
cumid921,2023-10-16 10:00:40,19.27
cumid4494,2023-10-16 10:07:43,19.77
cumid4495,2023-10-16 10:08:46,19.64
cumid4496,2023-10-16 10:09:30,9.31
cumid4497,2023-10-16 10:10:19,9.99
cumid4498,2023-10-16 10:12:46,110.97
cumid4499,2023-10-16 10:14:38,19.75
cumid4500,2023-10-16 10:21:50,229.96
cumid4501,2023-10-16 10:22:06,19.19
cumid4502,2023-10-16 10:23:29,19.75
cumid4503,2023-10-16 10:23:43,214.56
cumid4504,2023-10-16 10:29:20,19.91
cumid4505,2023-10-16 10:29:32,151.92
cumid4506,2023-10-16 10:34:38,19.07
cumid4507,2023-10-16 10:37:42,18.98
cumid4508,2023-10-16 10:40:45,37.24
cumid4509,2023-10-16 10:45:22,142.08
cumid4510,2023-10-16 10:47:12,18.56
cumid4511,2023-10-16 10:51:10,18.87
cumid4512,2023-10-16 10:54:05,9.26
cumid4513,2023-10-16 11:00:12,18.92
cumid4514,2023-10-16 11:02:26,19.1
cumid4515,2023-10-16 11:06:23,9.86
cumid4516,2023-10-16 11:09:37,9.53
cumid4517,2023-10-16 11:12:25,19.13
cumid4518,2023-10-16 11:12:39,36.07
cumid3571,2023-10-16 11:17:06,9.48
cumid4519,2023-10-16 11:20:06,18.97
cumid1057,2023-10-16 11:22:59,144.47
cumid4520,2023-10-16 11:25:59,18.53
cumid4521,2023-10-16 11:26:40,9.53
cumid239,2023-10-16 11:29:03,9.27
cumid4522,2023-10-16 11:30:18,9.62
cumid4523,2023-10-16 11:42:52,9.76
cumid4524,2023-10-16 11:44:35,19.94
cumid4525,2023-10-16 11:50:29,19.02
cumid4526,2023-10-16 11:50:33,19.23
cumid4527,2023-10-16 11:51:13,17.57
cumid4528,2023-10-16 11:55:11,19.5
cumid4529,2023-10-16 11:56:10,19.14
cumid1380,2023-10-16 11:56:38,101.96
cumid3880,2023-10-16 12:00:51,56.68
cumid4530,2023-10-16 12:01:10,18.61
cumid4531,2023-10-16 12:13:54,9.43
cumid67,2023-10-16 12:15:48,24.87
cumid4532,2023-10-16 12:16:41,9.49
cumid2925,2023-10-16 12:16:51,114.37
cumid4533,2023-10-16 12:24:31,19.79
cumid3725,2023-10-16 12:32:25,9.45
cumid4534,2023-10-16 12:40:49,20.05
cumid4535,2023-10-16 12:45:06,19.54
cumid4536,2023-10-16 12:50:58,9.93
cumid4537,2023-10-16 12:58:01,19.08
cumid4538,2023-10-16 12:58:13,107.66
cumid4539,2023-10-16 13:00:15,10.03
cumid4540,2023-10-16 13:02:59,19.95
cumid4536,2023-10-16 13:04:21,18.64
cumid4541,2023-10-16 13:05:46,37.14
cumid4542,2023-10-16 13:09:02,20.13
cumid311,2023-10-16 13:11:00,19.48
cumid4543,2023-10-16 13:19:10,9.88
cumid4544,2023-10-16 13:21:53,9.59
cumid4545,2023-10-16 13:25:26,18.81
cumid4545,2023-10-16 13:26:12,20.14
cumid4546,2023-10-16 13:30:08,9.7
cumid4547,2023-10-16 13:35:58,9.16
cumid4548,2023-10-16 13:39:55,18.94
cumid452,2023-10-16 13:40:46,216.1
cumid4549,2023-10-16 13:43:33,20.09
cumid4550,2023-10-16 13:48:28,9.47
cumid4551,2023-10-16 13:53:42,37.46
cumid4552,2023-10-16 13:56:13,19.98
cumid4553,2023-10-16 14:00:37,19.26
cumid4554,2023-10-16 14:01:47,18.95
cumid4555,2023-10-16 14:08:38,18.48
cumid4556,2023-10-16 14:08:42,18.57
cumid4557,2023-10-16 14:09:58,148.03
cumid4558,2023-10-16 14:11:00,9.24
cumid4559,2023-10-16 14:17:46,18.69
cumid4560,2023-10-16 14:18:02,145.96
cumid4561,2023-10-16 14:24:20,20.03
cumid4562,2023-10-16 14:24:37,18.52
cumid41,2023-10-16 14:30:40,204.77
cumid4563,2023-10-16 14:31:42,9.67
cumid4564,2023-10-16 14:34:44,117.15
cumid4565,2023-10-16 14:36:37,19.14
cumid4566,2023-10-16 14:48:18,18.96
cumid4567,2023-10-16 14:52:03,9.75
cumid996,2023-10-16 14:59:22,96.48
cumid4568,2023-10-16 15:02:23,28.83
cumid4569,2023-10-16 15:06:01,113.44
cumid4570,2023-10-16 15:11:11,10.06
cumid4571,2023-10-16 15:13:09,9.58
cumid4572,2023-10-16 15:14:09,19.03
cumid4573,2023-10-16 15:21:56,19.74
