抿 ..-....-.---
波 -.-.-.--.--.
势 ..--.---.-..
以 --..-.------
杯 ..---.-.-..-
狩 .-.-.--.--.-
弟 -.----...--.
温 ---.-...----
香 -.-.........
淫 ...--.-.--.-
默 --..---.-.-.
配 ....-.--...-
挺 --.--..-....
僻 ....----....
坚 ----.---.--.
久 ....-----.--
摹 --.--.-...--
帆 ....-...---.
响 -..-.-.--...
刷 .-..-..-..-.
前 ..-....--..-
聒 .--.--....-.
掩 -----....-..
铺 ---...---.-.
径 -.-.--...-..
阴 -.-.--.--.-.
啼 --.---------
洗 --...-.-...-
浊 .-..-..---..
幽 -.---..---.-
鲠 --.-...-..-.
耙 ---....-.--.
堆 -...---...-.
傻 .....-..-...
绍 .--.-.------
废 .-.-.---...-
邋 --.-..-.-.--
谈 ....---.---.
道 .-.--.--.-..
耐 ....--....-.
孝 -..-.-.....-
拆 .-.--.---...
弓 -.-....-..--
志 ---...---...
鸽 --.-----.-..
润 .--.-......-
股 --....--.--.
离 .-.-..--.--.
遗 --..--..--..
该 ..-..-...---
沟 .........--.
悴 ..-....-..-.
棉 .-.-...-.-.-
淹 .---.---.---
被 .--...---..-
烙 .....-.--..-
旺 ...-...--.--
地 -.--.----.--
街 .-......--.-
济 .----...---.
才 -.-.----.---
i ..-...--...-
作 -.-..-.-----
梢 --.-.-..--.-
腼 --.--.-...-.
羔 --.--...--..
袍 .-.-.-.....-
示 --.--.---..-
臭 .-..-....-..
国 ------------
抓 ....-...-.-.
料 ...--.----..
罢 ------.-..-.
昧 .--.---....-
衣 ..-----...--
瓶 -..--....-..
阀 ..-.---.--.-
甲 -.-..-..---.
牍 ..-.---...-.
稣 .--..----.--
猝 .-..-..--.--
跤 ..----....--
格 -..---.-.-.-
字 -.----...---
致 -.-...---.-.
砾 .-.--..-.---
画 .---.--.---.
囱 -.--..--.-.-
双 ...--.-.-..-
千 ..-.---..-..
确 -....---..-.
顿 .-..---..-..
软 -.-.-..-.-.-
怦 ...-..-...--
猜 ..-...---..-
索 .-.-.------.
者 ...-.--.--.-
继 -.---.--....
恼 ..-...-....-
凡 ..-.....--..
吵 -..-..-----.
清 -.--.--.----
丧 --.--..-..-.
牵 ..-..-.--.--
影 --..-.--.--.
增 .-..-..-....
咝 ...------.--
妆 -..--.--.-.-
掌 -.-..-.-.-.-
晃 -------.---.
满 -.-.--.--.--
拜 -----.---.--
帅 -.....---.--
线 .-..-.....-.
档 -----..---.-
颓 ....-.-....-
绕 ----...---..
弄 -.---.-....-
起 -----.-.--..
白 -.....--...-
孤 .--....---..
l ------.-----
诗 .---....--.-
稚 --....-...--
姑 .-.-......-.
玷 ..-..--.----
德 -.----.-...-
续 .-..--..-.--
蜒 ......-.-.--
裁 .--.-.--.-.-
只 ..-.--.----.
吓 ...-.-----.-
言 .....--....-
评 -.-.-.-.-...
降 ....--..-.--
建 ---.-...-.-.
甚 ..-.-....-.-
空 ....-..-..--
叶 .-.-.-.--...
骤 ..-...-.-.-.
绰 ---.----.-.-
所 .----.----..
撞 --.--.--.-.-
假 .-..-....--.
休 ---.-.-.----
节 ..-.-.--.-.-
艳 .-.--.------
娜 .---.-.-.-..
掘 -.--.-..--..
嘎 ---.-...---.
访 .-.---------
互 ..--..--.-..
终 -..-..---..-
8 ----.-------
业 ..--....-..-
戈 ..---..-----
榈 .-..-.-.--..
裹 -....------.
级 ...--.--.-..
锯 ---.-....-.-
问 -.-...-..-.-
； -..-.-...-..
毙 -.---.---.-.
并 -.---.-..-..
弧 --.-.-.-.--.
景 -.-.--..-.-.
丰 -....-..-.--
蜷 --...--...-.
土 --.-.-.-....
怄 --....----.-
瘁 ..-...-.-..-
畸 ....-.....--
倏 -.----..--..
深 ---.--....--
修 ---.--.--.--
搅 --.......-.-
婚 -..--.-..-..
何 .-....---..-
钻 ---..-..-...
培 ..--.....-.-
惦 ---.---.-.-.
魁 ---...-.--.-
改 ..--...-.--.
除 ..-..-----..
宏 .---.-------
饼 --...-.-.--.
耿 .---....---.
呀 -..-.-..---.
莫 ---.--------
安 ..---......-
屑 ..---.....-.
冒 -.-.---..---
王 .--....---.-
普 ...--...----
a ..-.-.-..---
鲨 ....---..--.
罚 .-..--...---
寡 .---....----
瓷 .-.--..-----
吠 -.---------.
曳 ---.---..-.-
津 -..-..---.--
捻 -...-.-....-
览 ---.---.-..-
炮 .-.-.-.-.-..
撅 ---------.--
躅 ----..-...--
滑 ..--..-.--.-
窈 .---..-..-..
闹 ----.--..---
然 ....----..-.
难 --.-..--...-
忽 .-..-.-...-.
忆 -.--..-.--..
呆 ...---.---..
倾 .---..-.-.-.
倚 -.--.-.-....
谬 -.....-.---.
速 .-.-....---.
婀 .--...-...--
朗 -...-.-.-.--
幅 -.----.--...
批 ...-.-.....-
晚 ..-.--.---..
少 ...--.-----.
嘲 .--...----..
砍 --.-..-....-
系 ---......-..
胳 -..--.-...-.
糕 -.--...--.-.
争 .-.---.-....
城 ---..-...--.
成 .....-...-.-
疗 -.--..-...-.
老 .--------...
笨 .-..-.-.-..-
陌 --..-.-.--..
履 ......---.-.
颔 .--...-.-..-
贵 .-..----...-
缰 ..-.--....--
力 --.--.----..
拴 .----...--..
锁 .-..-.....--
悟 --.---...-.-
圣 ........-..-
棕 --.--.--..-.
睡 .-....--.--.
策 ....---.----
刹 ---.--.-.---
闺 ..-.....-..-
蹈 ---.---...-.
嚷 .--....-..--
盼 .-.--..-.--.
答 ..-.----..--
膀 .-...--...-.
之 -....---....
刻 .-..-.--.-..
怀 -.---.....-.
境 .--.-.--.---
絮 -........-.-
店 .------...-.
毒 -....---.--.
埋 -..-.----.-.
闸 ---..-..--..
焦 -.-..-..--.-
阖 ----...--...
盛 .-....---.--
椅 .---...----.
芳 .-...--.--..
能 ..---.------
讶 --.--.-..---
诊 ..-.-.------
肤 --.--...---.
菜 ....--.-.---
享 ----.-..--..
恍 ...----.....
矢 -..----.-.--
杆 -..---.-....
猾 -...-..--.--
梯 ...-.-..--..
凿 ..-.-.-...-.
羽 ..-.--.--..-
板 .---...--...
庭 .------.-..-
跑 -----.--.---
慌 -.--.-.-.-..
概 .--..--.-...
乐 -..--.--..-.
秀 .---....-..-
司 -.---..--.--
拌 -.-.-..-.---
簧 -.---..-.-..
腻 -.--..-.----
潮 --.---.-----
巧 ....--...-..
统 -.-...------
泣 ..-....-..--
腮 .--..---....
蹦 --.....----.
随 --.-...--.-.
三 -.--.-....--
愚 -...........
俯 .-.-.....---
推 .-.......---
巷 --.-.--..--.
血 .--....--.--
怒 --..-...-.-.
雏 ..-.--.-..--
绳 ........-...
棵 -..--...---.
局 --..----.-.-
萄 -....-.----.
缎 --.-.-.--..-
咪 --.----..-..
扩 --..-.-----.
镗 -.-..-----..
捎 -.---.-.-.-.
务 -.-.....-...
滋 ------.-..--
鸦 .-.--....-..
旧 -..-....----
处 ...---.--.-.
若 ---...--.-.-
厢 --.---......
珠 ..-..--.--.-
涂 .-.---..-..-
绒 --..--......
誉 --...--.-...
惘 .-..-----.--
喻 ---....----.
合 -..-..-.-...
拄 .-.---.-..--
阅 .-.--..---.-
臂 .--.-.---..-
灯 ----.....--.
登 --.--..-----
扎 .-..-...---.
腕 --...--....-
晕 -...--....-.
壤 -.--.-.--.-.
脚 ---......-.-
塌 -.-.-....--.
仇 --..--.-.-..
尝 -----.-----.
恒 ..-.--..--.-
嗨 ....-.----..
骑 -....--..--.
d .-.-.-----..
积 --..----.--.
秽 ..-......-..
扶 --.---..--.-
祸 .--...-.....
越 .--.--..-.--
匙 ..-...-----.
窟 .------..---
色 ----......-.
搽 .--...---.--
鼻 -.-..----..-
戛 .-..------..
这 .-..--..---.
侧 ...-----.-..
捅 -..-........
赫 ..--..----.-
挪 .---........
陷 .-.---.--..-
烁 -.-..---.-..
愤 .-...-...-.-
巍 ----...-----
鞋 .--...-.---.
紧 -.----.-.-.-
忙 ---...---..-
栉 -....--...--
、 --.-.-.-..--
擒 ---.--.---..
填 -.-.---.--.-
舟 --.--.....--
邀 --....-..---
洽 .---.--..---
捡 ..--.---.-.-
列 -.....--....
充 .----.---...
亮 ..-...--..-.
着 --......-.--
晰 ----...--..-
否 -.--........
祷 ..--..-.-..-
徒 .---...--.-.
斩 --..-.-..---
慵 ..-------...
人 -.-..-.-.--.
疯 ..-.-..-..--
科 ----.-.--.-.
品 -.--....--..
翌 .-.-....-...
殊 ...----...--
穷 --...-.-.---
阁 --.-....-.-.
塞 ---.-.------
帷 .---..------
腹 .------.-.-.
怔 -.-...----.-
o -.--.-.....-
璃 ..---..--.--
杰 ..---..---.-
承 .-.-..--.-.-
吸 .----.-....-
c .-.-...--..-
夜 --...-----..
逝 .--...-.--..
金 -...-...-.--
刨 ----.....-..
商 -..-.-----.-
柴 .---.--....-
喘 ----..--.-..
进 ----------..
紊 -----.------
4 ..........-.
刮 --.-.---.-..
仗 ----.-.-....
疑 ..--..---.--
啊 .-....-.--.-
辨 .-..-.--..-.
衬 ....----.---
到 .-.-.--.-..-
伙 -.-....-----
拂 .-----.--...
环 --.---..----
职 ..---.---...
捞 ..--....-...
窖 --.-.-......
汁 --.---..-.--
善 .----..-..--
赛 -.-------.-.
” .-.-.--..-..
化 -..-...---.-
螨 -.....-..-..
接 --..-------.
陋 ---.---..--.
遮 --.--.-.----
贝 --.--..-.-.-
例 --.-.--.-..-
喝 -..--.----.-
姣 ..--...-..-.
听 -...-..-..--
截 .-----.----.
酷 ---------.-.
广 --.-.....--.
弃 .-.----.-..-
谊 ........---.
蛇 ..-..--.---.
陀 -...---.-..-
兆 ---......--.
误 ..-.-..-..-.
捉 -.--.-.-.--.
咖 .--..-.....-
抖 -..-...-.---
砂 --.--....---
绅 -..---.--...
惯 .--...--..-.
叉 ----...-.--.
荷 ..--.......-
盆 .-..---.-..-
倘 .--..--.----
m --...-...-..
抢 .-..--..----
疵 --...-.--...
惫 -.--...----.
腔 .-...--...--
匠 ....-..---.-
闪 .--.------.-
砖 ----.-----..
蹭 -..--..---..
早 --.-.....---
讽 .-...-...--.
冻 ..---.-..--.
型 .....--.-.--
苏 ...-------.-
炸 -.----.-.---
九 ..--.--.-.-.
拐 .-.----.--..
堵 ..-...-.-...
招 .....---....
臊 --..--.--..-
沉 -....-.-----
邮 --------.--.
扉 .-.--.-..-..
绝 --.-.-.-----
急 --..-.---.--
肃 ....--.....-
齐 -.-----...--
松 --.-.-....--
摄 -.-.-.-.--..
慨 -.---.-.-.--
噜 -.-..--..-..
唆 .-....-....-
楚 -.--...-----
拎 -..-.-..-.-.
敌 -..-.....---
巡 -------.-.--
餐 ---.....-...
一 ---.--.-...-
思 .-..---.----
相 --........-.
朝 -....--.-...
愿 ...--.-..---
算 .---...-..--
肢 ...--.-.----
肮 --..-......-
险 -.-...-.-..-
眶 ...-.-..-...
拥 ...----..-..
育 ..--.-.--..-
都 -.--.--.--..
车 -.--.-.-..--
新 --..---.---.
六 -...--..-...
嗳 .-.-..-.....
仔 ..-.......-.
孙 -.--.-----..
小 -..--....--.
情 --....-....-
辣 ..-.-....-..
串 ..-....-.--.
嶙 -.-.-.-..---
余 ---...-..--.
悲 ...-.---.--.
弹 ..--.-.-----
啾 ---....---.-
宝 .---...-.-..
丐 .-.-..-.--..
唿 .--.----.---
赶 -.--.-...-.-
撤 ..-..-.-----
滩 --.....---..
征 -....-.-....
荆 ..-.---.----
憎 .-.-...-..-.
玩 -.-.-..-----
纪 ..--..-....-
哥 -.--.-......
功 -..--.--..--
造 -..-..--...-
验 .-..--------
那 .---.-....-.
凄 ..-.-.....-.
牺 -.--.-..-...
啻 ..--.-----..
掉 ..----.-...-
偶 -.----.-.-..
恰 ----.---..-.
茶 ----.---....
吕 -.-.-.-..-.-
葵 ---..-..-..-
倍 --.--..---.-
揽 .--.--..---.
属 ---.----...-
嗒 .-..--.-..-.
恶 -.--...-.-..
桌 ..-...--....
靶 -.--.-.---.-
鹰 ---.-......-
添 -..---....-.
鼓 .----.--..--
坞 -..---.----.
鸿 -..-.--..-.-
媒 .-.--..-.-..
晌 .----.-..-..
稳 .---....-.-.
五 ...-.-..-..-
汇 ---........-
娇 -.....-.-.--
螺 ---.---.--..
酗 ..--...-.-..
锉 .----..-..-.
狂 .-..-.-...--
房 .--.---..---
瞬 --.....--..-
票 .-.-....----
5 .......--..-
疾 -....--.--.-
映 --...-.--.-.
宜 ...-..-.....
沥 ....---....-
蜜 -..-----.-.-
． ......-.-.-.
漏 .-.-..-....-
办 ...-..--.---
距 .-..----.--.
颠 ..----.-..--
逼 .---..-.--.-
选 .---...---..
垣 -.--..-----.
语 --.-.--..-..
梦 -...-...-.-.
黝 --...---.-..
左 .-----...-.-
价 ..-.--.-..-.
癫 .-.-.-.-..-.
决 ....--.-..--
比 .----.-..---
嫌 .--......-.-
便 ---.--.-..-.
隆 .--..-.-.-.-
憔 .......-....
夸 -..-.---....
材 ..--..--..--
彩 .--.-..-..--
漫 .-.--..----.
野 ..----...---
欠 --.-....--.-
谨 -...--.-.-.-
腾 -.--.-.-.-.-
摔 -.-..-.--.-.
韵 -----.-.--.-
驳 -...-...-..-
性 ---.-.-..---
熏 -..---.---..
讣 --.--.--..--
站 ---.--..-.--
册 .-----.-...-
偕 -.....-----.
奢 -.-----.-.--
月 .----.-.--..
拿 -..------..-
驰 .-....-----.
骄 ...-.-..---.
词 -.--....-.-.
D ---...-..---
腊 ..----.---.-
脆 .-.....-.-.-
哇 -.--..--...-
鹦 -.----..-.-.
强 -...-.--.-.-
谁 ---.-.-.--..
厮 .....--.--..
腰 ---.-----..-
掷 ------.-.-.-
襟 ----.-.-.--.
横 --...-..-...
康 ..-.--..-.--
犯 .-....-..-..
睹 --...-.---.-
族 -.--..-.....
水 .---.-.---..
头 ---..---.---
狼 ..-.-------.
艘 --.......-..
勃 ..-.----.--.
缘 ---.----.---
吁 -..--..-.--.
珍 --.-.......-
号 .-...--.-..-
落 .-.....--...
Z --..---..-..
劝 ........----
箱 ---...--.---
夏 -.-..---.-.-
疏 .----..--.-.
闷 --.-...-..--
见 .-..--.--..-
蜂 ---..----...
分 -...--.-..--
寄 --..--.----.
尤 -.....--.--.
次 -.-..--.-..-
鬼 .-..---..---
穗 .-----.....-
单 -----......-
李 -.-...---..-
缤 .-.-----....
葡 -.--...-...-
脖 .-...---.-.-
蓦 -----.-.-.--
始 --.--.-.---.
恩 -..-.---.---
掐 -..---...-.-
刊 ..-..------.
挖 -.-.--.-....
战 ..--.-.-.-.-
卉 ..--........
时 ...-------..
伤 ---.--...--.
踝 --.-..-.-.-.
泡 ......-.-...
扑 -..-..-..--.
嚼 --------.---
婆 -..----..--.
说 -....---.-.-
华 -..-..-.---.
桨 .-..----..--
叩 ..-.....--.-
退 ..----.--.-.
采 ..-.......--
诸 -.-.-..--.-.
午 .-..........
为 .-..--.---.-
匣 -------.-..-
即 .------...--
娃 ---..--...--
篓 -..-..--.-.-
又 --...---..--
蔽 .--..---.-..
框 .....-.-.-..
损 --.-.-----.-
0 ----...-....
飕 .--...---.-.
址 .--...-..--.
凉 .-..-....---
煮 ....---...-.
祝 ----..-.-...
胖 .-----...---
闯 -------.----
羞 .---.-.--.-.
恙 .-.--..--..-
‘ .-....--.-..
妮 -.-------..-
裙 .----..-.-.-
球 ..--.--.--..
母 -.-.--..--.-
勉 -.-------...
甩 -.-.-.--..-.
猎 ...--..-..--
姓 .-.--.-.---.
受 -------.....
酒 ---.-.-...--
蓬 -------..--.
持 ----.-...-.-
度 ....-.-.--.-
缓 -....-.-..--
义 -----...-..-
蝶 -.-...-.-...
仿 ----..--....
拘 ..-...--..--
砸 .-..-.-.-.--
掸 -....---...-
讲 .-.....-..--
蠕 -...----.-.-
奉 -..--..-...-
吻 -....-..---.
团 -.-....-.---
停 .-.--.-.----
亚 ---.--..-.-.
薯 --.--...-.--
暴 ..-.-.-.--..
棒 .-.-...----.
龄 ---..-...---
簿 .---.-.-....
炉 -..--.-.-.--
譬 -...--.---..
了 .-....--.-.-
墙 .--.--...--.
流 .--..---.-.-
记 .........-.-
傲 -.-.-.-...--
送 ..-----..---
虎 ....-....-..
袭 .-.--......-
淘 ----.----...
弦 .--..--..---
件 ---..---...-
戒 --....-...-.
毛 ..--.-.--...
沸 -.-.-..--..-
潜 .--.-..-.---
状 .--.--...-..
咬 .-.--.--.---
妪 ---...-...--
淤 .--.-.-.....
斑 --..-..---.-
壁 ....-.-..---
彬 .--.---.-.--
贴 ..--.-..-.--
饿 ..-.-...--..
窍 ..---.---..-
芹 -----.----.-
队 --.-.-..-..-
啸 -...-.--.--.
器 .-..-..---.-
封 .--..-..-...
摇 ....-----...
霸 --..---....-
妙 ---....-.-..
话 ..------..-.
导 ...-.---....
却 -.-----.....
悄 -...--..-.-.
右 -....-...-.-
胛 .-.----.---.
质 --.----.-.--
煎 ----......--
兵 ---.-..-----
罐 .----...-.--
欲 -.--.-.--...
智 ---.------.-
注 --..-----.--
林 --.-----..-.
恨 -....-.....-
掠 -.-.-.------
理 --.-.....-.-
魂 -.----.--.--
罕 .--.-..-.-.-
较 --.---.-..-.
握 .-..--.--.--
兹 .....-.-..--
荣 .....--.---.
谙 -..-..---...
产 ---..--..-..
爷 ---.--.-..--
搜 ---....-..--
学 .-.----.....
躯 ...-..-.-...
龉 --..-.-.-.-.
筑 -.-..-...-.-
豆 ----.-.--...
责 -.-....--...
寒 --.-.-....-.
烈 ..-.-..--..-
畏 .--.--.-.---
寓 -----....--.
仅 ....-...-...
虚 -.-..--.-...
界 -.---.--.--.
碎 -..-.----..-
侍 ----..----..
哈 ..-.--.-.-.-
贾 ..-.-..-.-.-
吊 .--.....-...
赐 --......---.
壮 ......--.---
贯 .-.-.---..-.
诡 -.....-.-..-
敲 .--..-.--...
象 ..-.....---.
拉 --.-.----.-.
渐 ---.....--..
利 -..-....--.-
妞 -.-.-...-.--
盔 -..--.-....-
衷 ...-.--.-.--
命 .--.....----
视 .--....-.--.
郁 ......-.-..-
拢 -..-.-.-.--.
1 .-.....-..-.
溢 ---..--..--.
倦 .---.----...
歇 ..-........-
诉 ---.-.....--
弥 --.....--.--
潺 .--..-----..
喜 ...--.--.--.
惶 ..--...-----
栓 ---..-.----.
u ....-.-...-.
瞧 ..---.--.-..
裂 .------.----
范 ..-----.-.-.
求 ---.-.--.---
平 .------.--.-
擦 --.....--...
厌 -.-..-..-.-.
？ ..--.--...--
豁 -...----..-.
麻 -.--.----..-
坪 -...-.-..--.
胜 .-.-...---.-
貌 .-.----..--.
社 ---...-..-.-
鲳 ..-.-.-.--.-
姆 .-----..--.-
盘 ..--..---..-
亵 -.-....---.-
排 .-..-..----.
毕 ..-..--.-.-.
撮 ..---...-..-
逗 .-.---...---
己 .-..--.-..--
瘾 -----.-..--.
哟 ---..-..-.--
琐 -..--.------
黎 ...--...---.
绽 --..---.----
蝴 ..-.--.-.-..
园 -.--...-..-.
鸥 --.-...--.--
得 ....-....-.-
侣 -....-.--.--
仓 -..-......-.
礁 ..-----.-.--
吟 -..--..--.--
适 ...-.--...-.
婴 ..----....-.
从 .-.....---.-
今 ...-..-..-.-
靴 --..-..--.--
残 .-.--.-...--
灭 -.--.-------
纯 .-.---...-.-
路 ....-..-...-
省 .---.--.----
奏 .----.....-.
缝 .--..-......
巅 ....-...----
挤 ...-.-..----
夺 --.--....-.-
赠 -.---..--.-.
内 .-..-..-.---
献 .---.....-.-
床 -.----....-.
州 ---.-..-..-.
蜕 .--.--...---
港 .-...---...-
透 -.--.-....-.
橡 ..----..---.
唯 .-..-.-....-
徐 .-.--.......
婉 ..........--
懈 .-..-.----.-
涉 .-...-.--...
歌 ---.-..-...-
抱 ......-.....
际 -......-..--
录 ...-..-.--.-
渲 ..--..--....
脏 --.------.-.
域 -.-...--....
喧 -..-.--.--.-
租 .-.....-----
耍 -.-.-.-...-.
尸 .--...--.---
醺 .--.-..-.-..
枯 .--------.-.
躺 ---..--....-
酿 ..-..-.----.
抵 -.-.-...----
边 -..--..-.---
夹 --..---.-..-
发 ...-....-...
咎 -...-.-.-..-
开 ....-.--.--.
肝 ..---.-.---.
谦 -..------.--
曲 ---...-.-..-
惧 -.---.-.--..
鲜 --..--.---.-
斜 -..-.-.-....
日 .-.--.---..-
移 -----.-...-.
舱 .-.--.-.--..
羁 .......-..-.
窜 ---.---.---.
乒 .-----..----
拦 ------...-..
声 .--.-..-.--.
宿 ...-...----.
噙 ----..-.-..-
放 --.------..-
柳 -...--.--..-
告 .--.---.-...
掏 -.......--..
瓜 ..-..-...--.
两 ----.---...-
舞 ...--.....-.
污 .-....-.-...
村 -.-.--.----.
岁 ..-..----.-.
快 ......-..--.
述 ..-....-.-.-
笃 ..--..-.-...
码 ...-...---.-
暗 ----..-.....
竹 ..-.---..---
炼 -....--..---
墓 ...-.-..-.-.
青 -...--.-.--.
厚 ---....--.-.
倪 ----.----.-.
河 ---..-.-.---
颈 ----........
攒 ----.----..-
入 ---.-..-.-.-
蓄 -.--..-.---.
胭 .....------.
浴 ..-..--...-.
颗 -....-.-.-.-
悬 ....------.-
现 .-.--..-..--
贱 --.-.--.--..
财 -..----.----
鼠 ----....-.-.
取 -....---.-..
蜿 -......--..-
班 --------..--
姐 -..-.--..-..
翘 ..--..-...--
宛 .-.-.-..--..
佳 ...-.----.-.
抚 -..---...---
俗 .-.---..-...
朋 --...--..-.-
阳 -..--.---.-.
袖 .---.-.-.---
里 .....----.-.
下 -.-.---...-.
怆 -...----....
插 --.----.---.
虾 --.----.-..-
账 .--...-.-...
马 .-.-.--.-.--
管 ..--..-..--.
西 -....-....--
基 -...--.-----
碟 -.-...--..--
扇 -.-....--..-
甥 ------....--
阿 ---.---.-...
抬 --..------..
市 .-....-...-.
鸣 -.-....--.--
寸 -.----.-....
妨 -..-..-.-..-
藤 ..-.........
扣 .-...--.--.-
镶 -.--.-----.-
更 .....-.---.-
刑 -.......-.-.
吭 ....-..-.--.
名 .-..-.--....
攥 .-.-.----.-.
奋 -...-..--...
妒 ---..--.----
荫 ..---.--..-.
副 ..-......---
咽 ....--...--.
喷 --..-----..-
涵 -----..---..
惹 .---.---.-..
块 ..-...-...-.
再 .-...--..-.-
① ....--......
嘤 -.----..--.-
黯 ...--..-..-.
凳 .-.----.--.-
筛 .--.-..--..-
丢 .---.-...-..
茎 --.---....-.
霉 --..--.--.--
丝 --.-..-----.
及 -.--...-.-.-
陡 ....--.---..
燕 ----..---.-.
焉 --..---..--.
迎 ..--.....---
心 ..-.--.-.---
购 .--.--.-.--.
仙 ...-...---..
窘 .....-.-.-.-
伞 ...--..-.-.-
傍 .--......--.
益 .--...------
嘴 .-.---...-..
差 .-..----.-.-
旷 .-.--..-..-.
冲 .-.---..--..
福 ..-..--..-..
雀 .--..--..-..
乎 .--..--.-.-.
主 .-..-.--...-
褪 -..-.--.-..-
照 .--..-.--..-
拟 .--.-.---...
嘈 .....-......
寂 -.---..-....
介 ---..-----.-
跨 .-...-....-.
牧 --.-...--..-
简 --.....---.-
肯 -.---.----..
滔 .-.--.----.-
共 -.-..-------
草 --.-.---..--
式 --.--.--.---
姨 .-...--..---
淌 --.---.---.-
茂 ..-.-..-----
摞 .--.--.-..--
杭 ..-.-.---.--
支 -..-.--.--..
般 ------...-.-
圈 ..---.--...-
瓦 ..---.---.--
龃 ..-.-.-.---.
火 .--.--.--.--
掬 --.-..-...-.
盒 ..--.---..--
慈 -...-.......
挂 .-.-.--...-.
术 ..---.-.....
戏 -..---.--.-.
醒 .----...----
事 ---...--.--.
禁 .--...--....
微 -.--.--..-.-
连 .--.-.-.-...
湖 -.-.--...--.
祟 -...---.-.-.
镜 -----..--...
勾 ..--..-.----
角 -...--..--..
长 -..---...-..
至 -..-.....-.-
尺 .---..---.-.
敬 .-.-..-...--
攀 -.--.--....-
执 .-.--...--..
鄙 --.-..---..-
么 -...----..--
喂 ..--.-..-...
爱 -....-.---..
楣 -.-....---..
巨 -------.--..
卑 ---..--.--..
御 ..-...--.-.-
冗 ..---.--....
页 -.---.-..---
担 .--..---.--.
恢 ..----.--.--
堡 ---..-----..
奶 ....-..-.-.-
几 -.-----.--.-
辈 -.-----..---
哭 -......-----
敦 ..--...---..
皮 .-----.-....
燃 ..-.--....-.
薄 .-.---....--
面 -...-..-----
茄 -.-...-.....
劲 ..-.--..---.
缺 ---.....-.--
脱 ....-..-....
穿 ......-.--.-
唐 -..-..-.----
皱 .-.--..-...-
卡 --.-...-.---
疼 -----.---.-.
张 ..---..-..-.
礼 -.....--.-.-
碾 -.--.--.-.--
永 ..--...-.-.-
洒 -..----....-
全 ..-..-.--..-
油 -----.-....-
杏 -..-....-.--
询 ----...-.---
输 .---..-...--
关 .-.....----.
斥 .--.--.-----
捕 -...-.-...--
予 -..----.-..-
此 --....----..
珑 -..----.-.-.
瞒 ---.......--
蜘 ..--.-....--
诧 ..-.-.----.-
七 ...--..---..
俩 ---.-.-.-.-.
蛋 -..-.-....--
雾 --...-.-.-.-
亭 .--..-.-...-
份 ..-..-......
弯 .--..----..-
笛 -.--..-...--
端 ...-.--.....
掇 -..-.---.--.
其 .-..--.-----
味 --.......--.
烊 .....--...-.
饯 -.---.-.-..-
聚 -..--.......
厕 .......-.-..
膊 .----------.
喉 ...-....--.-
率 ...--..--..-
顺 --------...-
宠 --.--.-.-..-
晤 .-.........-
追 --...-.---..
活 .......---..
亦 -.-.-.---..-
措 ------.--...
罗 ----..--.-.-
嘛 ..-..-...-..
舔 ---.-.-.-...
氛 .-.------..-
辄 -...---....-
动 -.---..---..
… --.-....----
茁 ....-..-.---
裔 .--.-..-...-
圾 -..-..-.-.--
披 -.-.--.-.--.
谤 -...-..-.-.-
溜 ..-.-.--.-..
坏 .--.---..-..
敏 ....-..-----
探 .----.-.-.--
伟 ...-....---.
喏 ..-.-...-...
仆 -.--..-.-.--
迹 --.-..--..--
干 .---..--.-..
仃 .---.-...--.
她 ..-....--.--
包 ..-.--.-----
出 -.--..------
堂 --..-...-..-
做 .-......-.--
粉 .--.....--.-
署 .....-....--
芬 --...--.--.-
狭 --..-...--.-
细 --.-.-..-...
跎 .-.-.--.-...
就 -..-.......-
帚 .-.....-.-..
描 .---...-.-.-
后 -.--.--..--.
昵 .-.-..-.-...
军 --..-...-.--
失 .------.---.
殷 -.-.-.--...-
洁 -.-......--.
鳞 ...---..----
吞 -..---..-.-.
驱 ....-.-..-..
- --------.-..
纹 -...-.-.--..
筹 -......-....
锚 -.-.--...---
搐 ..-..-..-.-.
漉 -.------.-..
谓 ---.-..--.-.
操 --.--...-.-.
目 ..----......
雅 -..-....-.-.
体 -.-.--.-.-..
吱 -.-.-.---...
泊 ..------.--.
众 ------.--.-.
嗅 ----..-.---.
勇 -.-.....-.--
数 ...-.-....-.
跟 --..-....---
泽 -.-.-...--.-
豫 .-.....-.--.
舌 --..--.-....
许 -...-.-.--.-
附 .-..--..--.-
肠 -.-.--.-.---
搞 .--.....---.
F ---..-....--
或 .-..--..-.-.
孕 --...------.
肌 ----..--.---
叨 -.--...-.--.
狐 ..--...--.--
题 -..---.-----
《 .-.-..-.-.--
饭 -------.-...
缠 ---------...
网 ---.-.-.-.--
衰 .--.--..-.-.
浪 ---.--.---.-
眠 ......---..-
轮 ---.-.-...-.
辽 ..-.---..--.
凋 ....-....---
雄 -..--.---..-
俟 .-..-...-.--
杂 -...---...--
回 .------..-..
富 -.......---.
苒 .--.-....---
皇 ------.-...-
写 -.-..--.-.-.
脾 --.-.----.--
铭 .--..--....-
诲 -.----..-..-
篷 ...-..--....
歹 ---....-...-
啃 ...-.---.-..
女 -..--...-...
标 .-...------.
况 ---...----..
带 .---.-..--.-
别 .---.-----..
机 .----.---.-.
朱 -.---..-.-.-
农 ..----..-..-
未 .--....--...
曾 .--.-.--..--
专 .-.-..----..
宣 --...-.--..-
